id,type,entity
ch3767,Chemical,acetone
ge17429,Gene,DCAF8
ge3528,Gene,CRISPRdCas9
di960,Disease,B2thymomas
ge16874,Gene,UPIIIb
di2778,Disease,xenograft
ge2675,Gene,miR5113p
ge9852,Gene,CREB
ge14419,Gene,miR34a5p
ge10748,Gene,PM21NK
ge6310,Gene,YTHDF2
ge12477,Gene,ITGA2B
ge3796,Gene,Tg
ge4150,Gene,GSDMEFL
ge20851,Gene,Thrombospondin1
ge20185,Gene,caspaseindependent
ge11006,Gene,TIM4mediated
ch5472,Chemical,Iodothyronine
ge9744,Gene,NKG2DNKG2DL
ge17252,Gene,CRPICAM1YKL40
ge1489,Gene,CD7neg
ch2883,Chemical,Pem
ch213,Chemical,68GaDOTApeptides
ch4616,Chemical,clodronate
di10740,Disease,hematoma
ge8614,Gene,ErbBfamily
ge12790,Gene,VEGFR2EGFRT790M
ge3396,Gene,LINC00115
ge7334,Gene,lncCENPH2
ge2505,Gene,AdREIC
di5210,Disease,PDNKSCC
ch4996,Chemical,Benzoapyrene
ge11552,Gene,IGF2
ge3770,Gene,IL23
ge9201,Gene,WNT3
ge8285,Gene,hPCL3S
ge17645,Gene,kinase
ge2631,Gene,V5
ge14308,Gene,hsamiR30a
ge9471,Gene,NR4A2
ge20895,Gene,KRASG12D
ge10168,Gene,nAChRs
ge15506,Gene,IL27p28
ge13489,Gene,CCN4based
di9006,Disease,hyperlipidemia
ch2984,Chemical,HematoxylineosinHE
di4143,Disease,WE
ch5292,Chemical,YY1induced
ge10394,Gene,lutein
ge17160,Gene,IL15high
ge11997,Gene,SpliceAI
ch362,Chemical,thiazole
ge20849,Gene,TRAS
ge3254,Gene,RETfusionassociated
ge1910,Gene,p38MAPKMK2
di13630,Disease,CHEMO
ge18966,Gene,ICI
ge7017,Gene,ADC
ch5131,Chemical,Palbociclib
ge2503,Gene,DLL4
ch4710,Chemical,DPPH
ge21171,Gene,KRT68
ge14996,Gene,E2F1ECE2
ge7058,Gene,Circ0000520
ge16742,Gene,circCSPP1
ge1204,Gene,miR12493pFGF5
ge3392,Gene,CC1L
ge12308,Gene,alpha5nAChR
ge2876,Gene,JFK
ge1573,Gene,MiR6543p
ge90,Gene,CDK46i
ge6003,Gene,KRAS4A
di10438,Disease,NPCB
ge18789,Gene,CD8Effcancer
ge20478,Gene,Secreted
ge12665,Gene,ZNF90
ge8077,Gene,MAPK4
ge15904,Gene,H19
ge9103,Gene,AN3CA
di12442,Disease,PTS
ge14211,Gene,NKIRAS2
di12769,Disease,CHD
ch3572,Chemical,His95
di7964,Disease,ATIN
ge19450,Gene,BUB3
di283,Disease,OC
di15218,Disease,LCCNI
ge6648,Gene,GPD1L
di5249,Disease,retention
di11911,Disease,MMN
ge14969,Gene,hasmiR203a3p
ch1037,Chemical,let7apromoter
ge8705,Gene,FDW028
ge14916,Gene,OTUB1
ge7684,Gene,PRMT5FGFR3AKT
ch3463,Chemical,tetrazolium
di6555,Disease,CMV
ge6428,Gene,ABCG2
di4269,Disease,SDRQD
ch4182,Chemical,buteininduced
ge8151,Gene,ALDH3B1
ge18213,Gene,CTRP6
ch711,Chemical,25hydroxyvitaminD
ge20924,Gene,COBRA
ge11275,Gene,miRNAhub
di336,Disease,bronchitis
ge11119,Gene,Ferritin
ge1531,Gene,circTLCD4RWDD3
ge16159,Gene,ZWINT
di1011,Disease,MFS
ge4584,Gene,IOX1mediated
ge18979,Gene,EGFRWTEGFRT790M
ch2332,Chemical,perprotocol
ge13026,Gene,pPI3K
ch4134,Chemical,glyphosate
ge15072,Gene,CGT
ge7661,Gene,Thymosin
ch1760,Chemical,Indoleamine
ge6149,Gene,miR29ainduced
di2917,Disease,pSCLC
ch2614,Chemical,1Monopalmitin
ch5814,Chemical,MP06
ch5746,Chemical,APAP
ch193,Chemical,MGH
di1111,Disease,PIL
di6769,Disease,RirAEs
ge17604,Gene,leptinmediated
ch1193,Chemical,etoposideplatinum
di2693,Disease,IPF
di2904,Disease,blepharospasm
ch5669,Chemical,circ0004140
ge17003,Gene,NAT2
ch2774,Chemical,CaP
ge16024,Gene,UV1
ch4390,Chemical,auranofin
ch1731,Chemical,methylglyoxal
ch478,Chemical,PaCO2
di2244,Disease,CPVB
ge17683,Gene,WASL
ge17217,Gene,GLS2
ge11437,Gene,COX7A2LALK
ge8319,Gene,CLEC3A
ge20694,Gene,METmediated
di1118,Disease,chemotherapyhyperthermia
ge19448,Gene,ICOSL
ge6939,Gene,ALKtargeted
ge12209,Gene,pp38
ge7835,Gene,CCR5CCLs
ch1947,Chemical,IPF
ge18619,Gene,cDC
ge11589,Gene,PeptiCRAd
ge9864,Gene,CD39CD103CD8
ge5914,Gene,ALP
ge4323,Gene,DG1as
ge8537,Gene,podoplaninCLEC2
ch1874,Chemical,SnO2QD
ge1189,Gene,TFAP2E
ge4236,Gene,HOTAIR
ge11769,Gene,SSe
ge15075,Gene,BEX2regulated
ch3731,Chemical,H2O2
ge1662,Gene,RETis
di7703,Disease,polyangiitis
ge10651,Gene,CD8
ch4503,Chemical,urethane
ch4499,Chemical,2aminopyrimidine
ch4432,Chemical,PAM
ge19060,Gene,BLU667
ge5650,Gene,KLRG2
ge2181,Gene,mPhf3DC
ge3025,Gene,TLR8
ge1867,Gene,KrasG12Sp53wt
ge10161,Gene,circ0076305
di542,Disease,MHD
ge638,Gene,TaqMan
ge15916,Gene,HSPA8HSC70
ge8326,Gene,CD107a
ge16255,Gene,IL13induced
di6553,Disease,tumors
ge1368,Gene,EIF4A3AGAP2AS1
ch3592,Chemical,radioiodine
ch3162,Chemical,Lorlatinib
di4153,Disease,cancerimmune
ge1792,Gene,Ddimer
ge13778,Gene,Pole
ge15239,Gene,BerEp4
ge10491,Gene,SCF
ge11070,Gene,ACTA2
ge3180,Gene,hsamiR1955pE2F7CEP55
ge2665,Gene,SRC
di13341,Disease,OSCC
ch4008,Chemical,pGGO
di13966,Disease,Cachexia
ge8097,Gene,alphaactinin
ch3419,Chemical,NaBu
ge6298,Gene,TPD52mediated
ge2272,Gene,Pfdr
ch4287,Chemical,Gemcitabin
di97,Disease,PCNB
ge11828,Gene,TUNELpositive
ge19081,Gene,miR3305pmiR1270
di7296,Disease,vasculitis
ge9665,Gene,PANoptosisrelated
ge15319,Gene,plateletcircRNA
ge13865,Gene,COSMIC
ch938,Chemical,methacrylate
ch2275,Chemical,Elemene
ch2358,Chemical,lowestrogen
ge15217,Gene,renin24
ge11947,Gene,TIP60
ge6575,Gene,JAK1MUC1CT
ge14884,Gene,TBK1
ge7066,Gene,miR6605p
ge4242,Gene,ICR1
ge9650,Gene,STARD51214
ch970,Chemical,bemcentinib
ch1119,Chemical,BaPDE
ge256,Gene,circZSWIM4
ch3711,Chemical,sorbitol
ge9527,Gene,ALKrearranged
ge7272,Gene,p50
ge14170,Gene,CCR46
ch5650,Chemical,cisplatincarboplatin
ch3154,Chemical,atorvastatin
di4677,Disease,APL
ge7718,Gene,TMEM14A
ge18036,Gene,FGF8ERK12MMP9MMP2
ge8541,Gene,AKTc
ge15462,Gene,USH2A
ge14529,Gene,CD47siRNA
di5866,Disease,CRPH
ch3842,Chemical,ABT
ge10018,Gene,KL
ge11830,Gene,FOXA2
ch954,Chemical,23dichloro14naphthoquinone
ch218,Chemical,SB705498
ch5541,Chemical,DDPtreatedresistant
ch5878,Chemical,Lu177
ge19875,Gene,Afa
ch1929,Chemical,DESTINYPantumor02
ge9835,Gene,AKBA
ch4130,Chemical,fenofibrate
di13915,Disease,IBDrelated
ge5797,Gene,ACSL3
ge1318,Gene,FGFR4
ch4701,Chemical,midazolam
ge16267,Gene,PDL1TumorCD8High
ch3885,Chemical,disulfiram
ge13196,Gene,ATRX
ge8885,Gene,RNASE6
ch476,Chemical,mirogabalin
ge9100,Gene,p75
ge18517,Gene,IkappaBalphaNFkappaBp65MMP9
ch973,Chemical,GalliumPolyphenol
ge18539,Gene,MGBA
ch1611,Chemical,Meroterpenoid
ch4534,Chemical,sugars
ge19037,Gene,MPZL1
ge2342,Gene,CD274PD1
ge8318,Gene,metalloproteinases
ge9612,Gene,PUF60
di12015,Disease,myocarditis
ch5094,Chemical,TPGS
di14402,Disease,POMCRC
di2850,Disease,vmyc
ch1995,Chemical,TCPO
ge18140,Gene,CD44s
ge2755,Gene,miR34c5p
ge20314,Gene,GFPpositive
ge12993,Gene,PBKassociated
ge11582,Gene,MAPK8
ch5635,Chemical,7betahydroxycholesterol
di13530,Disease,AIS
di12033,Disease,Demoralization
ge10300,Gene,DPYD
ch2457,Chemical,tryptophancatabolizing
ge15428,Gene,hsamiRNAs
ge5243,Gene,miRNASH2D5
di10684,Disease,BMCUP
ge16762,Gene,TCR
ge16835,Gene,GRM
ch2237,Chemical,cisplatindoxorubicin
ch3738,Chemical,BTZ
ge6937,Gene,FOSL2NAMPT
ge2021,Gene,CXCL14promoted
ge13331,Gene,CSF
ge7806,Gene,SETBP1
di12479,Disease,anlotinib
ge1929,Gene,JSI124
ge7753,Gene,IL24
ch2511,Chemical,DSePA
di15340,Disease,neversmoking
ge5602,Gene,Que
ge10434,Gene,NGR1
ge7354,Gene,KRASsignaling
ge1013,Gene,CAND1
ge7253,Gene,CD28PD1
ge20371,Gene,NOTCH3
ge20786,Gene,CCL2CCR2
di14407,Disease,ASCVD
ge16781,Gene,CHEK1
ge9387,Gene,Agt
ge6229,Gene,LUADrelated
di15288,Disease,CRS
di13575,Disease,segmentectomies
ge17624,Gene,ErbB4
ge12166,Gene,HIF3alpha
ge15459,Gene,CYP11B2positive
ge3082,Gene,L858REGFR
ge6566,Gene,gC1qR
di14567,Disease,HGNECNOS
ge4947,Gene,angulin1LSR
ge16550,Gene,FDPRCTCas12a
ge12174,Gene,HER2Targeted
ch1722,Chemical,AVP
di851,Disease,TDCLs
ge12464,Gene,PAQR3569
ge14725,Gene,ETBF
ge5695,Gene,IHCIF
ge15942,Gene,MB
ge1689,Gene,mPLA
di15194,Disease,TTNB
ch2473,Chemical,sulfonamide
ch2520,Chemical,PaO2
ge16598,Gene,ARNTL2
ch1107,Chemical,vancomycin
ge20324,Gene,HFLSRA
ge16042,Gene,ILF3NF110
ge16457,Gene,YAP1TAZ
di6386,Disease,PeMs
ge17786,Gene,BGN
ge21028,Gene,EPN3
ch3199,Chemical,Bor
ge16226,Gene,miR6253p
ge2986,Gene,ITGB4knocked
ch5791,Chemical,Radioiodine
di8581,Disease,Fleischner
ch5560,Chemical,Arsenic
di13397,Disease,FPs
ge19386,Gene,SSTR2
ge21289,Gene,AktGSK3betacMyc
ge4313,Gene,miR3423pGOT2
ch178,Chemical,Capmatinib
di2097,Disease,BTD
ge11227,Gene,TGFbetaRII
ch3454,Chemical,kinasetyrosine
ge13066,Gene,PEGrhGCSF
ge1058,Gene,Wnt3
ge9460,Gene,METTL3DDX23
ge12884,Gene,SMARCA4SMARCA2
ge1306,Gene,IDH1WT
ge13810,Gene,DualLuciferase
di5660,Disease,SCLClike
ge11096,Gene,NDP52
di10713,Disease,CCS
ch1151,Chemical,Hibiscuscisplatin
ge7192,Gene,ALDH1A1
ge12964,Gene,BRCA12altered
ge8755,Gene,MicroRNA36923p
ge17656,Gene,SNRPD1
ge11930,Gene,SEC61G
ge15049,Gene,RETEGFR
ge8773,Gene,PROX1
ge13375,Gene,hFAPtarget
di7279,Disease,euthanasia
ch4422,Chemical,NNT
ge3992,Gene,Sema4Ainduced
ge17753,Gene,FAM3Cdriven
di11979,Disease,DDS
ge1960,Gene,PRIMPOLKnockout
ch4406,Chemical,osimertinibresistance
di8761,Disease,irAE
ge13263,Gene,EGFRmpositive
ch124,Chemical,TADA3
ge8945,Gene,miR218Etk
ch1087,Chemical,belinostat
ge20441,Gene,JOSD2
ge8209,Gene,VEGFRTKIs
ch4284,Chemical,GSE33532
ge1378,Gene,miR1
di14545,Disease,HCCs
ch3692,Chemical,Abemecilib
ch5203,Chemical,13C
ch1346,Chemical,amrubicin
ch2422,Chemical,Nformylmethionineleucylphenylalanine
ge11412,Gene,TCRantiCD3
ge8464,Gene,fucosyltransferases3
ge2421,Gene,WCGNA
di9394,Disease,conjunctivitis
di4542,Disease,ERS
ge18293,Gene,LKB1Dependent
ch273,Chemical,NADH
ge19437,Gene,GADD45A
di69,Disease,SC
ge18075,Gene,ANXA2PI3KAKTOPA1
ch2791,Chemical,carbohydratebinding
ge16340,Gene,PRMT1mediated
ge11127,Gene,claudin1
ge166,Gene,CD66a
ge2818,Gene,TCF1PD1
ch3859,Chemical,NIPAm
ge7667,Gene,siKIF4A
ch2337,Chemical,Pyruvate
ge19583,Gene,ARHGAP11A
di9573,Disease,HMD
ge216,Gene,PRKAA2
di5953,Disease,Radiosensitivity
ch5215,Chemical,creatinine
di3979,Disease,PBML
ch1560,Chemical,penicillin
ge15642,Gene,MyD88
di1459,Disease,disulfidoptosis
ge21066,Gene,CK19
di12016,Disease,calf
ch4068,Chemical,IBI305
ge11507,Gene,NeoAgs
ge7877,Gene,COX
ge17781,Gene,CYP2C8
ge15774,Gene,XCL1high
ge18193,Gene,SH3BP5AS1
ge15248,Gene,IST1
ch1334,Chemical,CT4OHPU
ch4887,Chemical,18F2fluoro2deoxyDglucose
ge1366,Gene,Gap27
ge8926,Gene,SERPINE1
di8900,Disease,NE
ch5902,Chemical,Ndelta5hydro5methyl4imidazolon2ylornithine
ch4525,Chemical,LINC00669
di9168,Disease,PT
ch4637,Chemical,diosgenin
di1895,Disease,chronic
ge8533,Gene,PRS
ge3061,Gene,shCALML3AS1mediated
ge4700,Gene,HNK
ge12442,Gene,TNFRSF4
ge7908,Gene,cAMPPKACREB
di713,Disease,PEH
ch3784,Chemical,circ0008167
ge1060,Gene,ROSNOD
ge7951,Gene,Curcumin
ge3128,Gene,PTHLH
ch5847,Chemical,FeCl3induced
ge19642,Gene,TCF1CD8
ge18866,Gene,preXBP1
ge1743,Gene,METtargeted
ge12933,Gene,miRNA21
ge14661,Gene,PRL
ge3215,Gene,Lyn
ge5281,Gene,TAM1
ge1203,Gene,RIP
ge16358,Gene,SMURF2
ge2144,Gene,MycPDL1
ch1616,Chemical,cisplatinbased
ge11871,Gene,CD5L
ch3075,Chemical,Somatostatin
ge17357,Gene,MMP13
ge7822,Gene,miR1270
di15377,Disease,indeterminate
ge15028,Gene,CRISPRCasmediated
ge4379,Gene,TGFbetaTGFbetaRI
ch558,Chemical,emodin
ch3748,Chemical,kifunensine
di10032,Disease,IPM
di12886,Disease,POCD
ge16017,Gene,CRISPR
ch4240,Chemical,RuNH363
ch3427,Chemical,Gemcitabine
ge4578,Gene,RHOH
ge10195,Gene,MKK36p38
ch1725,Chemical,5Azacytidine
ge7945,Gene,MIP1beta
ge9564,Gene,Kyn
ge17634,Gene,41BB
ge8612,Gene,IFNs
ch1154,Chemical,phalloidin
ge9420,Gene,GSK3betaITCHcFLIP
ge11901,Gene,GDF15
ch4747,Chemical,Hsacirc0080608
ch224,Chemical,A196
ge2206,Gene,CD79A
ge1136,Gene,FGF19mediated
ch4456,Chemical,Prolyl
ge11235,Gene,HMPL504
di14924,Disease,noncachexia
ch2305,Chemical,prostanoid
ge6184,Gene,EXT2
ge11799,Gene,AnxA6
ch2306,Chemical,galliumpolyphenol
ch4479,Chemical,CZT
di8904,Disease,KS
ge4108,Gene,MAPTmediated
ch4032,Chemical,Sufentanil
ch654,Chemical,Chloroquine
ge1498,Gene,SP
ge21180,Gene,Thrombin
ge9400,Gene,caspase93
ge7680,Gene,TGFbeta1Smad3
ch1473,Chemical,SunitinibLoaded
ge2420,Gene,PMS1
ge4046,Gene,E76A
ge8880,Gene,PI3Kbeta
ge6860,Gene,cleavedPARP
ge15736,Gene,KLKs
ch3299,Chemical,Ce6PTX2NPGNHs
ch5425,Chemical,hexanal
ge3125,Gene,peroxidase
ge8978,Gene,Malat1
di4404,Disease,MSC
ge16190,Gene,MMP91562CT
ge5382,Gene,MID1IP1mediated
di1659,Disease,BABLC
ge12275,Gene,circRNAlncRNAmiRNAmRNA
ge20867,Gene,CD117
ch4790,Chemical,Hydroxychloroquine
ge16866,Gene,SLCO4A1AS1
ge13744,Gene,BRAFV600E
ge15036,Gene,TGFbeta2Smad2mediated
di3859,Disease,DPSC
ge14125,Gene,SYAP1
di11291,Disease,IFPFS
ch2185,Chemical,bortezomibnelfinavir
ge7923,Gene,p300CBPmediated
di2768,Disease,MPR
ge8743,Gene,Anamorelin
ge3039,Gene,RTKRASMAPKinase
ge13762,Gene,FBXL14
ge10648,Gene,CircRNA
ge3188,Gene,miR165pMMP11
ge13285,Gene,miR175p
ge8615,Gene,Pdl1
di7822,Disease,Cancerimmune
di15578,Disease,DKD
ge13802,Gene,Sema4A
di1504,Disease,Chylothorax
ge18620,Gene,ExomeBased
ge10175,Gene,miR1433pFNDC1
di5026,Disease,IPI
ge2308,Gene,SAHA
ch1511,Chemical,Tyrosine
ge14860,Gene,antiHLAG
ge383,Gene,cGASSTING
ch540,Chemical,remdesivir
ch1862,Chemical,erastin
ge760,Gene,TS41
ch1369,Chemical,Ser21
ge2846,Gene,LP
ge76,Gene,CLDN1
ge9559,Gene,ITPKApromoted
ge15458,Gene,glucagon
ge14694,Gene,BETi
ge9871,Gene,CD184
ch536,Chemical,lactate
ge6204,Gene,NOTCH4
ge6808,Gene,miR200c
ch306,Chemical,sasanlimab
ge16690,Gene,GFP
ge10553,Gene,plakoglobindependent
ge15779,Gene,hascirc0000043
ge19438,Gene,TET2
ch1944,Chemical,FKN
ch5935,Chemical,78Diacetoxy34methylsulfonylphenyl4phenylcoumrin
ge9700,Gene,54150
ge4764,Gene,IL18IL18BP
ge11793,Gene,RARalpha
ge18068,Gene,Mero82
ch3705,Chemical,oxycodone
di4514,Disease,PWOH
di1906,Disease,transaminitis
ge9655,Gene,ISG15
ge18298,Gene,circ00006324
ge1505,Gene,mTORC12
di10557,Disease,GIC
ge7371,Gene,Survivinspecific
ch4608,Chemical,triptolide
di15546,Disease,LMBC
di5735,Disease,OOPC
ch3958,Chemical,Chlorojanerin
ge19190,Gene,antiPDL2
ge20715,Gene,tRFstiRNAs
ch647,Chemical,rapamycinloaded
di6714,Disease,atherosclerotic
ge11042,Gene,CYRA211
ge14621,Gene,KLF5
ge7672,Gene,E2Fdependent
ge6205,Gene,Peroxiredoxin1
ch3697,Chemical,FDG
ge9633,Gene,ATPaseunfoldase
di2660,Disease,SDB
ge3164,Gene,GNinduced
ge19935,Gene,BACH1knockout
ge19988,Gene,PP2Ac
ge19151,Gene,pIKBa
ch5328,Chemical,adenylate
di1520,Disease,SMARCA4DNSCLC
ge6694,Gene,HLADPA1
di3140,Disease,1L
ge17102,Gene,RNAbinding
ge19704,Gene,ELOVL6related
ge10177,Gene,miR125a3p
ch3192,Chemical,rucaparib150
di2273,Disease,dyspnea
ch5351,Chemical,ADP
ch103,Chemical,TEPOTINIB
ge10334,Gene,PARN
ge18886,Gene,Sohlh2
di5577,Disease,diffuse
ge14075,Gene,miR320c
ch99,Chemical,fimepinostat
ge12985,Gene,miR514b5p
ge2101,Gene,Peptins
ch2343,Chemical,KP2187
ge12857,Gene,RAB27Bdependent
ch4311,Chemical,Graphene
ge18059,Gene,CXCR4related
ch1945,Chemical,14nitrobenzoyl4ethylsemicarbazide
ge9058,Gene,EEF1G
ge10240,Gene,abeta2GPI
ge15684,Gene,NSUN2
di10427,Disease,RIBN
ge14983,Gene,EMP2
ge13376,Gene,GLUT5mediated
ch4733,Chemical,6indolylpyridone3carbonitrile
di5115,Disease,PDL1
di2721,Disease,LIHC
ge12093,Gene,miR30c
ge20106,Gene,GH
di13248,Disease,pMPM
ge7376,Gene,TAF15
ge14113,Gene,Vps60
ch2195,Chemical,GKT137831
ch561,Chemical,Ag
di5199,Disease,PN
ge13299,Gene,PPP
ge12661,Gene,SOX10
ch3985,Chemical,78Diacetoxy34methylsulfonylphenyl4phenylcoumarin
ge19812,Gene,cas7
ge6871,Gene,PfEMP1
ge11900,Gene,PDHE1alpha
ch978,Chemical,FRAX486
di13813,Disease,cancerprotective
ge4954,Gene,antiCD3epsilon
ge3150,Gene,DNMT3b
ge5380,Gene,NKCD8
ch4660,Chemical,chlorambucil
ge5355,Gene,AtoN
di15157,Disease,VF
ch675,Chemical,Polypyrimidine
ge19744,Gene,MnSOD
ch4494,Chemical,proteintyrosine
ch3761,Chemical,68GacycDX600
ge16263,Gene,Hsacirc0049657
ge10564,Gene,TPGs
ch466,Chemical,Ser2056
ge17507,Gene,CXCL9CXCL10CXCL11
ch4283,Chemical,Tyr272
di9409,Disease,RELAY
ge7266,Gene,p53null
di9784,Disease,THRIL
ge15256,Gene,CCNT2
ge18763,Gene,IL33ST2
ch1392,Chemical,ozone
ge9888,Gene,LTF
ge11258,Gene,VDAC1
ch1613,Chemical,A05
ge1526,Gene,H2BY37dependent
ge7225,Gene,Ptdser
di1811,Disease,LCs
ge3801,Gene,CD62E
ch2573,Chemical,sesaminone
ge3373,Gene,CD39CD4
ge13048,Gene,ACBs
ge5786,Gene,BXclx
di12664,Disease,frail
ge11956,Gene,ApoBDmediated
ge13161,Gene,amphiregulin
ge1164,Gene,HSF1
ge14351,Gene,Ki67high
di1510,Disease,AISI
ge1912,Gene,EIMs
ch2618,Chemical,CBLP
di8463,Disease,ulcer
ch1212,Chemical,Sitravatinib
ch5719,Chemical,mizoribine
ge4138,Gene,DEmiRNAs
ge15039,Gene,LINC02418
ge11604,Gene,COL4A6
ge19000,Gene,FGL1
di3006,Disease,T1bronchus
ge7627,Gene,RASA1mutation
ge387,Gene,EWSR1FUS
ge2078,Gene,ASCL1lowDLL3lowNOTCHhigh
ge17824,Gene,YY1PIWIL4
ge19880,Gene,AMIGO2
ge15181,Gene,CRISPRdCas9Tet1
ge10136,Gene,Bax
di5034,Disease,OT
ge19364,Gene,FAHR
di13768,Disease,MTA
ge4723,Gene,caspase38
ge16183,Gene,cPLC
di14809,Disease,SL
ge1009,Gene,circHERC1
ge17273,Gene,FBXW10S6K1ANXA2KRASERK
ge9204,Gene,Os30
di399,Disease,HD
ge2980,Gene,CircOXCT1
ge20803,Gene,K22Q
ch4506,Chemical,zirconium89
di3250,Disease,NSCL
di9480,Disease,PTTM
ge11277,Gene,miR12875pRBBP4
di10270,Disease,TC
ch4152,Chemical,Nacetyllcysteine
ge3394,Gene,CD3CD8
ge17916,Gene,Fstl1
di7282,Disease,NAC
ge17886,Gene,KRASERK
ge20616,Gene,IFNgammaIRF1
ge16830,Gene,OSI
ge17622,Gene,TRAILmediated
ge10547,Gene,SFRPs
di9148,Disease,AXLD
ge4803,Gene,HER2mutant
ge15999,Gene,MRP1
di7653,Disease,asbestosis
di13902,Disease,nonkeratinising
ge13046,Gene,KRASmt
di5880,Disease,NSCLCPDT
ge443,Gene,Pomiferin
di6138,Disease,NSCLCbearing
ge8283,Gene,KCNQ1QT1miR2965pPLK1
di11701,Disease,hepatoblastoma
ge12310,Gene,collagen
ge5712,Gene,PRDX3
ch3649,Chemical,carboplatincisplatin
ge16803,Gene,hsacirc0020123
ge18000,Gene,CD163S
ch5219,Chemical,KNO3
ge17026,Gene,antiCSC
ge178,Gene,Eriocitrin
ge11071,Gene,CD68phosphoSTAT1positive
ge7403,Gene,TrxR
ge18370,Gene,Betti
ge6088,Gene,phosphoBRaf
ge5580,Gene,cg27077312
ch2879,Chemical,nbutanol
ge12775,Gene,ADH1C
di9447,Disease,measles
di8036,Disease,BCC
ch1786,Chemical,Dex
ge17629,Gene,HIST1H2BH
di13529,Disease,LBP
ge16744,Gene,PKASOX2
ch2531,Chemical,Asparagine
ge3160,Gene,TDLN
di11458,Disease,psoriasis
di11785,Disease,CAF
ge16900,Gene,GLS
ge862,Gene,CTRP
ge4939,Gene,miR3283p
ge4286,Gene,CDCA4
ge11097,Gene,mTORC1SREBP1SCD5
ge7261,Gene,galectin9
ge15562,Gene,Calregulin
di11523,Disease,LM
di4961,Disease,MTE
ch5853,Chemical,parylene
ge16375,Gene,Sintilimab
ge14836,Gene,CXCL91011CXCR3
ge13,Gene,NLRP3IL1beta
ge17475,Gene,PDTOs
di4963,Disease,Ferroptosis
ge17811,Gene,CTCrelated
ge15917,Gene,VSIG4
ge6025,Gene,LINC01798
ge12920,Gene,siFATP2
ge16888,Gene,B7H3CART
ch1793,Chemical,alphaCyanoacrylate
ch2571,Chemical,Na2HPO4
ge16772,Gene,LAG3expressing
ge4387,Gene,GLUT3
di9817,Disease,OSLM
di9408,Disease,Eashwarsoma
ch5415,Chemical,1024201110022018
ch1097,Chemical,dacarbazine
di8540,Disease,cancercaused
ch4396,Chemical,EMF
ge20794,Gene,bsAbs
ge2934,Gene,PRC1
ge1044,Gene,IgG
ch5862,Chemical,TNFi
ge14366,Gene,miR8735p
ge2682,Gene,hsamiR26b
ge2207,Gene,MTXMPs
ge6126,Gene,DDX5
di4544,Disease,TEM
di14028,Disease,VC
ge16162,Gene,IhERG
ch5146,Chemical,DBDP
ge20126,Gene,MMP14dependent
ge8513,Gene,Ca125
ge16193,Gene,antiAFP
ch1194,Chemical,His13
di7863,Disease,Triplenegative
ge1171,Gene,TISIDB
ge360,Gene,HDL
ge6174,Gene,Circ0008003
ge19088,Gene,CTCF
ge9951,Gene,TRAF2TRAF6
ge19738,Gene,ANXA1derived
ge14558,Gene,AIs
di10066,Disease,cancer
ge13188,Gene,IKZF1
ge223,Gene,necroptosis
ge10016,Gene,ITPKAfacilitated
ch2405,Chemical,244fluorophenoxyphenylethylamine
ch32,Chemical,CDBS
di8283,Disease,asbestos
ge12743,Gene,betaglucuronidase
ge3609,Gene,SYT8
di13762,Disease,COVID
ge5430,Gene,G12Cspecific
ch4315,Chemical,gefitiniberlotinibtreated
ge3580,Gene,PPDdownregulated
ch3031,Chemical,neopterin
ge16182,Gene,SCLCA
ge18733,Gene,UCP2
ch4545,Chemical,hsacirc0048091
ge1564,Gene,SBK1
ge15965,Gene,CTAs
ge11732,Gene,MAP3K7
ge2323,Gene,mTORC2regulated
ge12336,Gene,MRE11RAD50
ch527,Chemical,pentapeptides
ch2043,Chemical,hsacirc0000043
ch1646,Chemical,envonalkib
ch3148,Chemical,RAFi
di12485,Disease,OsiILD
di12317,Disease,inflammation
ge455,Gene,IL12p70
ge14223,Gene,NCAM1
ge14361,Gene,Mcl1
ge671,Gene,PBX1
ge13935,Gene,CathepsinD
ch3277,Chemical,NmethylNnitrosourea
ge6856,Gene,SII
ge17732,Gene,Keap1Nrf2GPX4
ch2489,Chemical,lowoxygen
ch5913,Chemical,NO3
ge13567,Gene,collagenchitosan
ch4184,Chemical,Estrogen
di10529,Disease,diarrhea
di6318,Disease,tumorshed
ch5494,Chemical,PAMs
di863,Disease,AAPI
ge15393,Gene,FXYD5knockout
ge13910,Gene,MEKi
ch5889,Chemical,TIGIT
ge4978,Gene,CTPPU
ge17292,Gene,EGFRSTAT3
ge10217,Gene,Nectin3
di11513,Disease,encephalopathy
ge16288,Gene,USP5USF1
ge943,Gene,LKB1null
ge604,Gene,124125ILabeled
ge16848,Gene,IFNL
ge16258,Gene,LINC01234
ge1824,Gene,AAGs
ch4890,Chemical,PDA
ge20843,Gene,ST3GAL5catalyzed
ch2282,Chemical,LINC02159
ch5895,Chemical,ArOSO2F
ge4969,Gene,F5
ch3139,Chemical,dCs
di566,Disease,surgical
ge4748,Gene,KDM6A
ge11462,Gene,TCF7SELL
di10289,Disease,NNV
ge123,Gene,USP2825
ge17400,Gene,miR548I
di2531,Disease,Mesotheliomabearing
ch5316,Chemical,temsirolimusinduced
ch2688,Chemical,DS1205c
di8026,Disease,cerebellar
ge21232,Gene,Alu
ch4685,Chemical,NIS793
ge19325,Gene,hsamiR4488
di15072,Disease,LCCA
ge13773,Gene,MRTX1257
ge3917,Gene,IL37
ge1219,Gene,GDIR1
